,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Crypto Name,Ticker
1747,1/2/21,29452.304,28555.69546,35248.73122,29452.304,29452.304,2481.705072,2481.705072,2481.705072,1.855941016,1.855941016,1.855941016,2479.849131,2479.849131,2479.849131,0,0,0,31934.00908,Bitcoin,BTC
1748,1/3/21,29550.95134,28426.5554,35496.12061,29550.95134,29550.95134,2579.659933,2579.659933,2579.659933,-34.68859821,-34.68859821,-34.68859821,2614.348532,2614.348532,2614.348532,0,0,0,32130.61128,Bitcoin,BTC
1749,1/4/21,29649.59868,29402.85347,35910.39917,29649.59868,29649.59868,2750.262097,2750.262097,2750.262097,15.17419617,15.17419617,15.17419617,2735.087901,2735.087901,2735.087901,0,0,0,32399.86078,Bitcoin,BTC
1750,1/5/21,29748.24602,29323.23784,35923.53459,29748.24602,29748.24602,2838.478822,2838.478822,2838.478822,-2.606803846,-2.606803846,-2.606803846,2841.085626,2841.085626,2841.085626,0,0,0,32586.72485,Bitcoin,BTC
1751,1/6/21,29846.89336,29354.66047,36323.65024,29846.89336,29846.89336,2960.4741,2960.4741,2960.4741,28.86619023,28.86619023,28.86619023,2931.607909,2931.607909,2931.607909,0,0,0,32807.36746,Bitcoin,BTC
1752,1/7/21,29945.5407,29532.18543,36492.43732,29945.5407,29945.5407,3014.73363,3014.73363,3014.73363,8.543823105,8.543823105,8.543823105,3006.189807,3006.189807,3006.189807,0,0,0,32960.27433,Bitcoin,BTC
1753,1/8/21,30044.18804,29909.74807,36486.70657,30044.18804,30044.18804,3047.506039,3047.506039,3047.506039,-17.14474846,-17.14474846,-17.14474846,3064.650787,3064.650787,3064.650787,0,0,0,33091.69408,Bitcoin,BTC
1754,1/9/21,30142.83538,29769.71097,36743.34193,30142.83538,30142.83538,3108.96033,3108.96033,3108.96033,1.855941016,1.855941016,1.855941016,3107.104389,3107.104389,3107.104389,0,0,0,33251.79571,Bitcoin,BTC
1755,1/10/21,30241.48272,29817.0899,36545.64509,30241.48272,30241.48272,3099.273094,3099.273094,3099.273094,-34.68859821,-34.68859821,-34.68859821,3133.961692,3133.961692,3133.961692,0,0,0,33340.75582,Bitcoin,BTC
1756,1/11/21,30340.13006,29842.64163,36962.71801,30340.13006,30340.13006,3161.102672,3161.102672,3161.102672,15.17419617,15.17419617,15.17419617,3145.928475,3145.928475,3145.928475,0,0,0,33501.23274,Bitcoin,BTC
1757,1/12/21,30438.7774,30073.43355,37250.23545,30438.7774,30438.7774,3141.389261,3141.389261,3141.389261,-2.606803846,-2.606803846,-2.606803846,3143.996065,3143.996065,3143.996065,0,0,0,33580.16667,Bitcoin,BTC
1758,1/13/21,30537.42474,30151.86092,37372.24959,30537.42474,30537.42474,3158.292225,3158.292225,3158.292225,28.86619023,28.86619023,28.86619023,3129.426034,3129.426034,3129.426034,0,0,0,33695.71697,Bitcoin,BTC
1759,1/14/21,30636.07208,30330.34841,36871.18594,30636.07208,30636.07208,3112.272883,3112.272883,3112.272883,8.543823105,8.543823105,8.543823105,3103.72906,3103.72906,3103.72906,0,0,0,33748.34497,Bitcoin,BTC
1760,1/15/21,30734.71942,30544.21774,37340.04039,30734.71942,30734.71942,3051.49362,3051.49362,3051.49362,-17.14474846,-17.14474846,-17.14474846,3068.638368,3068.638368,3068.638368,0,0,0,33786.21304,Bitcoin,BTC
1761,1/16/21,30833.36676,30287.85255,37683.00924,30833.36676,30833.36676,3027.934274,3027.934274,3027.934274,1.855941016,1.855941016,1.855941016,3026.078333,3026.078333,3026.078333,0,0,0,33861.30104,Bitcoin,BTC
1762,1/17/21,30932.0141,30345.36236,37232.83431,30932.0141,30932.0141,2943.440312,2943.440312,2943.440312,-34.68859821,-34.68859821,-34.68859821,2978.12891,2978.12891,2978.12891,0,0,0,33875.45442,Bitcoin,BTC
1763,1/18/21,31030.66144,30243.91479,37433.48249,31030.66144,31030.66144,2942.160853,2942.160853,2942.160853,15.17419617,15.17419617,15.17419617,2926.986657,2926.986657,2926.986657,0,0,0,33972.8223,Bitcoin,BTC
1764,1/19/21,31129.30878,30431.81858,37538.25409,31129.30878,31129.30878,2872.316394,2872.316394,2872.316394,-2.606803846,-2.606803846,-2.606803846,2874.923197,2874.923197,2874.923197,0,0,0,34001.62518,Bitcoin,BTC
1765,1/20/21,31227.95612,30703.64914,37737.44419,31227.95612,31227.95612,2853.108207,2853.108207,2853.108207,28.86619023,28.86619023,28.86619023,2824.242017,2824.242017,2824.242017,0,0,0,34081.06433,Bitcoin,BTC
1766,1/21/21,31326.60346,30783.90595,37727.39676,31326.60346,31326.60346,2785.778352,2785.778352,2785.778352,8.543823105,8.543823105,8.543823105,2777.234528,2777.234528,2777.234528,0,0,0,34112.38182,Bitcoin,BTC
1767,1/22/21,31425.2508,30615.34904,37387.31375,31425.2508,31425.2508,2718.99159,2718.99159,2718.99159,-17.14474846,-17.14474846,-17.14474846,2736.136338,2736.136338,2736.136338,0,0,0,34144.24239,Bitcoin,BTC
1768,1/23/21,31523.89814,30840.96617,37392.14132,31523.89814,31523.89814,2704.940591,2704.940591,2704.940591,1.855941016,1.855941016,1.855941016,2703.08465,2703.08465,2703.08465,0,0,0,34228.83873,Bitcoin,BTC
1769,1/24/21,31622.54548,30608.2988,37672.75812,31622.54548,31622.54548,2645.389099,2645.389099,2645.389099,-34.68859821,-34.68859821,-34.68859821,2680.077697,2680.077697,2680.077697,0,0,0,34267.93458,Bitcoin,BTC
1770,1/25/21,31721.19282,31089.06103,38059.42435,31721.19282,31721.19282,2684.111234,2684.111234,2684.111234,15.17419617,15.17419617,15.17419617,2668.937038,2668.937038,2668.937038,0,0,0,34405.30406,Bitcoin,BTC
1771,1/26/21,31819.84016,30909.52343,38255.98307,31819.84016,31819.84016,2668.666692,2668.666692,2668.666692,-2.606803846,-2.606803846,-2.606803846,2671.273496,2671.273496,2671.273496,0,0,0,34488.50686,Bitcoin,BTC
1772,1/27/21,31918.4875,31267.06604,38364.06131,31918.4875,31918.4875,2717.323588,2717.323588,2717.323588,28.86619023,28.86619023,28.86619023,2688.457398,2688.457398,2688.457398,0,0,0,34635.81109,Bitcoin,BTC
1773,1/28/21,32017.13484,31482.91,38483.61252,32017.13484,32017.13484,2730.137522,2730.137522,2730.137522,8.543823105,8.543823105,8.543823105,2721.593699,2721.593699,2721.593699,0,0,0,34747.27236,Bitcoin,BTC
1774,1/29/21,32115.78218,31295.85271,38543.16199,32115.78218,32115.78218,2754.357684,2754.357684,2754.357684,-17.14474846,-17.14474846,-17.14474846,2771.502432,2771.502432,2771.502432,0,0,0,34870.13987,Bitcoin,BTC
1775,1/30/21,32214.42952,31567.33526,38486.11724,32214.42952,32214.42952,2840.560768,2840.560768,2840.560768,1.855941016,1.855941016,1.855941016,2838.704827,2838.704827,2838.704827,0,0,0,35054.99029,Bitcoin,BTC
1776,1/31/21,32313.07686,31817.53593,38804.22988,32313.07686,32313.07686,2888.726667,2888.726667,2888.726667,-34.68859821,-34.68859821,-34.68859821,2923.415266,2923.415266,2923.415266,0,0,0,35201.80353,Bitcoin,BTC
1777,2/1/21,32411.7242,31971.3603,39020.47459,32411.7242,32411.7242,3040.713368,3040.713368,3040.713368,15.17419617,15.17419617,15.17419617,3025.539172,3025.539172,3025.539172,0,0,0,35452.43757,Bitcoin,BTC
1778,2/2/21,32510.37154,32097.63314,39015.08501,32510.37154,32510.37154,3142.069931,3142.069931,3142.069931,-2.606803846,-2.606803846,-2.606803846,3144.676735,3144.676735,3144.676735,0,0,0,35652.44147,Bitcoin,BTC
1779,2/3/21,32609.01888,32458.57182,39659.39608,32609.01888,32609.01888,3308.998475,3308.998475,3308.998475,28.86619023,28.86619023,28.86619023,3280.132285,3280.132285,3280.132285,0,0,0,35918.01736,Bitcoin,BTC
1780,2/4/21,32707.66622,32553.4835,39699.07529,32707.66622,32707.66622,3439.472832,3439.472832,3439.472832,8.543823105,8.543823105,8.543823105,3430.929009,3430.929009,3430.929009,0,0,0,36147.13905,Bitcoin,BTC
1781,2/5/21,32806.31356,32978.92437,40180.94309,32806.31356,32806.31356,3578.683815,3578.683815,3578.683815,-17.14474846,-17.14474846,-17.14474846,3595.828564,3595.828564,3595.828564,0,0,0,36384.99738,Bitcoin,BTC
1782,2/6/21,32904.9609,33211.68506,40133.02612,32904.9609,32904.9609,3775.211024,3775.211024,3775.211024,1.855941016,1.855941016,1.855941016,3773.355083,3773.355083,3773.355083,0,0,0,36680.17193,Bitcoin,BTC
1783,2/7/21,33003.60824,33430.98747,40249.06362,33003.60824,33003.60824,3927.134363,3927.134363,3927.134363,-34.68859821,-34.68859821,-34.68859821,3961.822961,3961.822961,3961.822961,0,0,0,36930.7426,Bitcoin,BTC
1784,2/8/21,33102.25558,33546.13748,40661.97125,33102.25558,33102.25558,4174.541952,4174.541952,4174.541952,15.17419617,15.17419617,15.17419617,4159.367755,4159.367755,4159.367755,0,0,0,37276.79753,Bitcoin,BTC
