Date,Open,High,Low,Close,Adj Close,Volume,Currency Name
2019-11-05,1.004728,1.011055,0.996082,1.004743,1.004743,30721581637.0,Tether
2019-11-06,1.005019,1.007361,1.000498,1.003033,1.003033,28578448466.0,Tether
2019-11-07,1.003281,1.009146,0.997957,1.005732,1.005732,27694410589.0,Tether
2019-11-08,1.00537,1.011406,0.998418,1.002498,1.002498,28749114086.0,Tether
2019-11-09,1.002252,1.007227,0.998939,1.000189,1.000189,20459420156.0,Tether
2019-11-10,1.000222,1.008127,0.988144,1.002694,1.002694,24552202767.0,Tether
2019-11-11,1.002838,1.0115610000000002,0.997627,1.002438,1.002438,23739145075.0,Tether
2019-11-12,1.002421,1.011233,0.997774,1.001398,1.001398,23449537112.0,Tether
2019-11-13,1.001467,1.00689,0.999717,1.003175,1.003175,20071939197.0,Tether
2019-11-14,1.002958,1.012151,0.998471,1.005582,1.005582,21911169228.0,Tether
2019-11-15,1.006154,1.016355,0.995398,1.001369,1.001369,25291395573.0,Tether
2019-11-16,1.001721,1.011755,1.00111,1.006746,1.006746,18225904912.0,Tether
2019-11-17,1.006839,1.019175,1.004451,1.008471,1.008471,20418489157.0,Tether
2019-11-18,1.008518,1.021421,1.004801,1.012008,1.012008,24102161964.0,Tether
2019-11-19,1.012361,1.025752,1.000558,1.008968,1.008968,23104090327.0,Tether
2019-11-20,1.008842,1.01847,1.002822,1.00544,1.00544,22255938426.0,Tether
2019-11-21,1.005074,1.024559,0.998885,1.0004110000000002,1.0004110000000002,26004738831.0,Tether
2019-11-22,1.000569,1.023217,0.991656,1.003045,1.003045,39068899485.0,Tether
2019-11-23,1.003078,1.027841,0.998878,1.01313,1.01313,24605070720.0,Tether
2019-11-24,1.013503,1.028642,1.002352,1.017519,1.017519,25990545761.0,Tether
2019-11-25,1.014958,1.024747,0.993995,1.0031139999999998,1.0031139999999998,33648447519.0,Tether
2019-11-26,1.003678,1.02498,0.995267,1.009773,1.009773,23545460689.0,Tether
