,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1393,2018-07-11,7347.970928765595,1462.2189016234931,11807.694578876499,7347.970928765595,7347.970928765595,-843.4885695500051,-843.4885695500051,-843.4885695500051,23.85648438901405,23.85648438901405,23.85648438901405,-867.3450539390191,-867.3450539390191,-867.3450539390191,0.0,0.0,0.0,6504.48235921559
1394,2018-07-12,7336.509690101442,1418.509518169227,11558.067261465376,7336.509690101442,7336.509690101442,-872.4927815927222,-872.4927815927222,-872.4927815927222,11.591737013905336,11.591737013905336,11.591737013905336,-884.0845186066275,-884.0845186066275,-884.0845186066275,0.0,0.0,0.0,6464.01690850872
1395,2018-07-13,7325.04845143729,1785.7975958601328,11440.051568317145,7325.04845143729,7325.04845143729,-904.8638367160337,-904.8638367160337,-904.8638367160337,-3.8809597055517377,-3.8809597055517377,-3.8809597055517377,-900.982877010482,-900.982877010482,-900.982877010482,0.0,0.0,0.0,6420.184614721256
1396,2018-07-14,7313.587212773137,1579.7653726456633,11652.38567300679,7313.587212773137,7313.587212773137,-930.0469265953132,-930.0469265953132,-930.0469265953132,-12.55516155561706,-12.55516155561706,-12.55516155561706,-917.491765039696,-917.491765039696,-917.491765039696,0.0,0.0,0.0,6383.540286177824
1397,2018-07-15,7302.125974108985,1188.9654683670315,11519.818195716382,7302.125974108985,7302.125974108985,-970.8345701896479,-970.8345701896479,-970.8345701896479,-37.78078319089813,-37.78078319089813,-37.78078319089813,-933.05378699875,-933.05378699875,-933.05378699875,0.0,0.0,0.0,6331.291403919337
1398,2018-07-16,7290.664735444832,1311.0816330391563,11351.897623680972,7290.664735444832,7290.664735444832,-932.1388954178182,-932.1388954178182,-932.1388954178182,14.979410154058888,14.979410154058888,14.979410154058888,-947.1183055718769,-947.1183055718769,-947.1183055718769,0.0,0.0,0.0,6358.525840027014
1399,2018-07-17,7279.203496780679,1323.697514162826,11334.96833352471,7279.203496780679,7279.203496780679,-955.3679819622802,-955.3679819622802,-955.3679819622802,3.7892728950669365,3.7892728950669365,3.7892728950669365,-959.1572548573472,-959.1572548573472,-959.1572548573472,0.0,0.0,0.0,6323.835514818399
1400,2018-07-18,7267.742258116527,1231.0772951559884,11388.895772866412,7267.742258116527,7267.742258116527,-944.824043924487,-944.824043924487,-944.824043924487,23.856484388903283,23.856484388903283,23.856484388903283,-968.6805283133903,-968.6805283133903,-968.6805283133903,0.0,0.0,0.0,6322.91821419204
1401,2018-07-19,7256.2810194523745,1395.2456426644221,11144.83899035732,7256.2810194523745,7256.2810194523745,-963.6587659142021,-963.6587659142021,-963.6587659142021,11.591737013820559,11.591737013820559,11.591737013820559,-975.2505029280228,-975.2505029280228,-975.2505029280228,0.0,0.0,0.0,6292.622253538172
1402,2018-07-20,7244.8197807882225,1470.8820635383709,11363.98069796669,7244.8197807882225,7244.8197807882225,-982.3762426959253,-982.3762426959253,-982.3762426959253,-3.8809597055908274,-3.8809597055908274,-3.8809597055908274,-978.4952829903344,-978.4952829903344,-978.4952829903344,0.0,0.0,0.0,6262.443538092297
1403,2018-07-21,7233.358542124067,1077.1862907222117,11205.80240690187,7233.358542124066,7233.358542124066,-990.6754425196431,-990.6754425196431,-990.6754425196431,-12.55516155554041,-12.55516155554041,-12.55516155554041,-978.1202809641027,-978.1202809641027,-978.1202809641027,0.0,0.0,0.0,6242.683099604424
1404,2018-07-22,7221.897303459918,1090.6655026563667,11384.556413200393,7221.8973034599185,7221.8973034599185,-1011.6985813250074,-1011.6985813250074,-1011.6985813250074,-37.780783190894866,-37.780783190894866,-37.780783190894866,-973.9177981341124,-973.9177981341124,-973.9177981341124,0.0,0.0,0.0,6210.19872213491
1405,2018-07-23,7210.436064795762,1055.2609444474863,11088.079184283184,7210.436064795762,7210.436064795762,-950.7949125463078,-950.7949125463078,-950.7949125463078,14.97941015408523,14.97941015408523,14.97941015408523,-965.7743227003931,-965.7743227003931,-965.7743227003931,0.0,0.0,0.0,6259.6411522494545
1406,2018-07-24,7198.974826131613,633.731258483676,10913.421800159635,7198.974826131613,7198.974826131613,-949.8860533309984,-949.8860533309984,-949.8860533309984,3.789272895137765,3.789272895137765,3.789272895137765,-953.6753262261361,-953.6753262261361,-953.6753262261361,0.0,0.0,0.0,6249.088772800615
1407,2018-07-25,7187.513587467457,1434.2225635274872,11201.846944429595,7187.513587467457,7187.513587467457,-913.8509246500257,-913.8509246500257,-913.8509246500257,23.85648438897015,23.85648438897015,23.85648438897015,-937.7074090389959,-937.7074090389959,-937.7074090389959,0.0,0.0,0.0,6273.662662817431
