Date,Open,High,Low,Close,Adj Close,Volume
10/6/2017,1.00042,1.00641,0.998001,1.00109,1.00109,92153696
10/7/2017,0.999588,1.00477,0.992831,0.99932,0.99932,89544096
10/8/2017,0.99811,1.00291,0.99533,0.998442,0.998442,123005000
10/9/2017,0.998897,1.00855,0.994415,0.99978,0.99978,178567008
10/10/2017,1.00038,1.00395,0.996522,0.999441,0.999441,137687008
10/11/2017,0.997962,1.0031,0.997106,0.998625,0.998625,85384600
10/12/2017,0.999843,1.00486,0.990707,0.997423,0.997423,216202000
10/13/2017,1.00009,1.01627,0.992697,1.00005,1.00005,319484992
10/14/2017,1.0005,1.00498,0.995903,0.999709,0.999709,139468000
10/15/2017,1.0004,1.01154,0.992759,0.999242,0.999242,209190000
10/16/2017,0.998,1.01348,0.98402,0.99801,0.99801,204158000
10/17/2017,0.998252,1.0173,0.981165,0.999335,0.999335,216808000
10/18/2017,0.998946,1.01243,0.991487,1.00268,1.00268,253904000
10/19/2017,1.00242,1.00738,0.996,1.00066,1.00066,150674000
10/20/2017,1.00099,1.0119,0.997444,1.00102,1.00102,185163008
10/21/2017,1.00075,1.01497,0.992774,1.00093,1.00093,171818000
10/22/2017,0.99992,1.00795,0.996909,1.00193,1.00193,166215008
10/23/2017,1.00136,1.01076,0.993556,0.996536,0.996536,203487008
10/24/2017,0.994611,1.01891,0.985114,1.00275,1.00275,257372000
10/25/2017,1.00224,1.00911,0.995853,1.00226,1.00226,171432992
10/26/2017,1.00229,1.00635,0.997739,0.999868,0.999868,162258000
10/27/2017,0.999916,1.00589,0.996415,1.00007,1.00007,144634000
10/28/2017,0.999838,1.00538,0.998318,1.00396,1.00396,120414000
10/29/2017,1.00251,1.00883,0.991302,1.00111,1.00111,618257024
10/30/2017,1.00106,1.00445,0.994665,1.00058,1.00058,169424992
10/31/2017,0.998327,1.00416,0.996871,1.00071,1.00071,184182000
11/1/2017,1.00111,1.00386,0.995643,1.00155,1.00155,246324000
11/2/2017,0.999853,1.03589,0.996339,1.001,1.001,425129984
11/3/2017,0.999063,1.01361,0.996363,1.00632,1.00632,358886016
11/4/2017,1.0045,1.014,0.994864,1.00209,1.00209,285312000
11/5/2017,1.00077,1.00612,0.995977,0.9988,0.9988,234616000
11/6/2017,1.00238,1.00679,0.993269,1.00338,1.00338,308963008
11/7/2017,0.999882,1.00821,0.997083,1.00566,1.00566,255132992
11/8/2017,1.00449,1.04223,0.994842,1.01196,1.01196,526848992
11/9/2017,1.01087,1.01327,0.996515,1.00818,1.00818,358188000
11/10/2017,1.0065,1.02423,0.995486,1.00601,1.00601,756446016
11/11/2017,1.00598,1.02621,0.995799,1.00899,1.00899,746227968
11/12/2017,1.00602,1.10591,0.967601,1.01247,1.01247,1466060032
